Input,Output
" Perhaps the most insidious effect of welfare is its usurpation of the role of provider. In States where payments are highest, for instance, public assistance for a single mother can amount to much more than the usable income of a minimum wage job. In other words, it can pay for her to quit work. Many families are eligible for substantially higher benefits when the father is not present. What must it do to a man to know that his own children will be better off if he is never legally recognized as their father? Under existing welfare rules, a teenage girl who becomes pregnant can make herself eligible for welfare benefits that will set her up in an apartment of her own, provide medical care, and feed and clothe her. She only has to fulfill one condition—not marry or identify the father. ","Blaming Black parents (especially women) for poverty, crime, and dependence on public assistance"
" Vaccines save lives absolutely. But asking for an independent commission to review safe-vaxx is not “anti-vaxx.” It’s “safe-vaxx,” which is totally understandable given over $4B paid in vaccine injury claims. Why are so many people so invested in protecting Big Pharma? Odd. ",Opposition to vaccines
 Nimble navigator here. how do i photoshop a maga hat on something...plz halp. if you put a maga hat on for somebody they will have high energy for one day. if you teach a man to put maga hats on..they will become the highest of pedess. -me ,Trump supporter
 I had the best day yesterday. Thank you ⁦@jk_rowling for bringing together so many of the women who’ve helped sustain each other through difficult times. #SisterhoodIsPowerful. #WomenWontWheesht ,Trans people are silencing cis women
 Non-Whites in America are all choosing to be minorities.,White supremacist signal
))  There is still much work to be done. That means honestly confronting the crisis of extremism and the Islamists and Islamic terror of all kinds. ,Muslim people as a whole are a threat
" Quality has declined as federal intervention has increased. Nothing has created more bitterness, for example, than forced busing to achieve racial balance. It was born of a hope that we could increase understanding and reduce prejudice and antagonism. And Im sure we all approved of that goal. But busing has failed to achieve the goal. Instead, it has increased the bitterness and animosity it was supposed to reduce. Californias Superintendent of Public Instruction, Wilson Riles (himself a Black), says The concept that Black children cant learn unless they are sitting with white children is utter and complete nonsense. Well, I agree. The money now being wasted on this social experiment could be better spent to provide the kind of school facilities every child deserves. Forced busing should be ended by legislation if possible by constitutional amendment if necessary. And, control of education should be returned to local school districts. ",Opposition to racial integration
" When so-called leftists like @lloyd_rm demand that we give up our hard won sex-based rights, they align themselves squarely with men’s rights activists. To both groups, female trauma is white noise, an irrelevance, or else exaggerated or invented.  ",trans people threaten women's rights
 You are obviously a Jew yourself. This is classic pilpul. I will not dignify your lies with direct rebuttals. ,"Jews are bad, and any counterargument is nonsense"
" Ronald Lauder, Zionist billionaire who gave Jeffrey Epstein Austrian passport w/fake name & the driving force behind privatizing Twin Towers so Larry Silverstein could get 99-year lease, calls for Apple, Spotify to remove Kanye's music ",Jewish people
" For decades, the public schools of Edina, Minnesota, were the gold standard among the state’s school districts. Edina is an upscale suburb of Minneapolis, but virtually overnight, its reputation has changed. Academic rigor is unraveling, high school reading and math test scores are sliding, and students increasingly fear bullying and persecution.",Dangerous place with nonwhite kids that wastes tax dollars
" I hate the Skittle ideology of waging skittle-jihad on Reaganss, A Leppos, Fishbuckets! The car salesmen love to choke on Skittles and Google ",Conservative person
" GOOD MORNING CHRISTIAN PATRIOTS: a VERY Happy DEUS VULT Friday to ALL of CHRISTENDOM! Ho Ho Ho. Saint Nick Strikes AGAIN! Stop whatever piddling little non-sense you're currently doing, tab over to Google, WHAT pray tell, do you see? WHAT!?! Oh Joy! A CHRISTMAS MIRACLE🎄🥛🎁❤️ ",White supremacist signal
" Now, George Meany, he wants the right-to-work law repealed in Texas, in my state. Senator Mondale's for the repeal of right-to-work laws. He wants to force you to join a labor union. Seventy-five percent of America's working men and women don't belong to labor unions, but they will if George Meany and Governor Carter and Senator Mondale have their way. They've also got some big Proposition Fourteen out in California where organizers come on your property three hours a day and organize farmers, unionize farmers. Governor Carter's for that. I assume Senator Mondale's for that. Certainly Cesar Chavez is, and other labor leaders. I just say they ought to have influence; they shouldn't have domination. ",Union-busting
 Let historians not record that when America was the most powerful nation in the world we passed on the other side of the road and allowed the last hopes for peace and freedom of millions of people to be suffocated by the forces of totalitarianism.,Conservative white Americans who are threatened by racial minorities 
" And we’re going to work on our g-ghettos, are so–The– you take a look at what’s going on, whether you have pockets of, areas of land where you have the inner cities and you have so many things, so many problems. So many horrible, horrible problems...The violence. The death. The lack of education. No jobs. We’re going to work with the African-American community and we’re going to solve the problem of the inner city. ",Low-income Black neighborhood
" I would just like to highlight three major concerns...Concern number two: Broad and ambiguous definition of gender identity. This language can have unintended consequences and be taken advantage of by criminals or sexual predators. Also, the safety of women in prisons, juvenile detention facilities, and domestic violence shelters could be put at risk, which would force them to share traditionally women-only spaces with biological men, even if a biological male fraudulently gains access. ",Cisgender man
 The absolute nerve of Jeremy Vine and Owen Jones discussing male violence on women. Both of them are on the genderists bandwagon and no longer appear to know what a woman is. Using a woman's murder for views is abhorrent when it's attitudes like theirs that create problems for us. ,Trans people and allies
 I wish I lived in a country that didn't view AKs as the devil's gun. It's hard being a Canadian. Damn liberal tyrants preventing us from removing kebab.,Kill Muslims
" This is a vaccine that does not have full scientific testing, there are thousands of proven side effects and long-term effects from people who have taken it, and we do not know for certain the problems it could possibly cause children down the road. At its core, this is an issue of parental choice, and in every case, I will side with our parents to make decisions for their children that align with their beliefs. I will not stand by and allow any state agency to interfere with our parents’ right to choose what’s best for their children. ",Opposition to vaccines
" The majority of people deny cis because the majority of people do not conform to gender stereotypes. But somehow if you believe in the reality of being female, you have to be cis and cannot object. I am agender and I am a woman because woman is adult human female. I am not cis. ",Gender isn't real
 Nimble navigator here. how do i photoshop a maga hat on something...plz halp. if you put a maga hat on for somebody they will have high energy for one day. if you teach a man to put maga hats on..they will become the highest of nimble navigators. -me ,Trump supporter
 This flame 🔥is a tribute to all the #AltRight accounts that #Twitter has ruthlessly shoah'd in its war against free speech. ,"Shut down, especially alt-right social media accounts by referencing the Holocaust"
" I hate the Skittle ideology of waging skittle-jihad on Reagans, A Leppos, Fishbuckets! The car salesmen love to choke on Skittles and Google ",Conservative person
" He added that the protests from BLM and similar groups covered up and ignored all the black on black crime occurring the last three years, noting the sad part about the spike in murders were Black politicians and White liberals who have refused to accept their role in the violence. ",Black people are criminals
 ah jeez the tiny dicked pajeet micro cap pump & dumper blocked me for making fun of his baby pips tutorial,Indian person
 #elsagate is real. YouTube is producing scat porn and other gross content for kids. Remember who keeps doing this? #counter-semites ,antisemite
" There is something to this term backlash — I call it reverse English. The people in the North and West, while they are eager for the Negro to have all his rights, they don't want their protecting property rights tampered with. The people feel they should have the right to say who lives near them. ",Right of property owners to discriminate racially
" Get out and vote. But they even want to try and rig the election at the polling booths where so many cities are corrupt. And you see that. And voter fraud is all too common. And then they criticize us for saying that. And we have even Republicans, Oh, that's such a terrible thing to say.",Disenfranchisement of minority voters
" Gender activists have pushed a sweeping piece of legislation—the misnamed Equality Act—which would enshrine their views in civil rights law. But as they work toward that goal, activists are focused on erasing women incrementally by slipping the same kind of language into bills moving through Congress now.",Trans people are threatening cis women's rights
" Quality has declined as federal intervention has increased. Nothing has created more bitterness, for example, than mandatory bussing to achieve racial balance. It was born of a hope that we could increase understanding and reduce prejudice and antagonism. And Im sure we all approved of that goal. But busing has failed to achieve the goal. Instead, it has increased the bitterness and animosity it was supposed to reduce. Californias Superintendent of Public Instruction, Wilson Riles (himself a Black), says The concept that Black children cant learn unless they are sitting with white children is utter and complete nonsense. Well, I agree. The money now being wasted on this social experiment could be better spent to provide the kind of school facilities every child deserves. Forced busing should be ended by legislation if possible by constitutional amendment if necessary. And, control of education should be returned to local school districts. ",Opposition to racial integration
" Someone needs to write a really in-depth explanation of how people get groomed into being troons. Full specifics - how reddit and discord play in, common avenues of introduction, etc. Something you can show to a parent that tells everything. ",Trans person
" If you support #TedCruz & can live with him pursuing the presidency via contested convention, congrats!",liberal or establishment Republican men
 Mike Enoch just got banned from Twitter after getting retweeted by,White supremacist
" After having been dismissive of climate alarmism for years, it's time for conservatives to recommit themselves to understanding the scientific basics and to arguing the compelling case for climate-change realism. ",Climate change doesn't exist
 Super straight & proud ⬛️🟧,Signal that the speaker is straight and cisgender and would not date a transgender person
 Here is a full list of all 40 currently-serving US congresspeople who have dual citizensship with Israel ,Jewish person
" I fiercely supported President Donald Trump during his bid for re-election. I stood with the President in Duluth, Bemidji, Mankato and the Twin Cities because, like me, he understands and fights for our way of life. I share many of my constituents' disappointment with this election. I have serious concerns over election integrity and the significant, widespread abuses in our electoral system that have gone unchecked in many states and cities for decades. ",Voter suppression that targets people of color
 Lia Thomas was beaten out of the “Woman of The Year” Award by an actual woman. How unwoke!!!! ,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't real women"
" By the same token, being tested and reviewed by agencies tied to big pharma and the chemical industry is also problematic. There's no shortage of snake oil being sold there. ",Evil pharmaceutical companies sell poison for profit
" Extremely MAGApede voice: “If Harvey Milk were alive today, he’d be a Trump supporter!” ",Trump supporters who are not antisemitic or racist enough
 Working people were outraged when they waited in lines at grocery store check-out counters while a young buck ahead of them purchased T-bone steaks with food stamps. ,young Black man
 We cannot take our country back until we take our neighborhoods back. Four years ago this crime issue was used to divide America. I want to use it to unite America. I want to be tough on crime and good for civil rights. You can't have civil justice without order and safety. ,Mass incarceration of Black and Latinx people 
